ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13358655,JH140359,02/05/2024 01:16:00 AM,014XX E 53RD ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,0234,002,4,41,08B,1187087,1870421,2024,02/13/2024 03:41:06 PM,41.799541208,-87.589427899,"(41.799541208, -87.589427899)"
13358782,JH140689,02/05/2024 01:19:00 AM,043XX S HONORE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0924,009,15,61,08B,1164746,1875809,2024,02/23/2024 03:41:07 PM,41.814827859,-87.67120577,"(41.814827859, -87.67120577)"
13358609,JH140354,02/05/2024 01:20:00 AM,078XX S MARSHFIELD AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0611,006,17,71,08B,1166705,1852747,2024,02/13/2024 03:41:06 PM,41.751501206,-87.664677728,"(41.751501206, -87.664677728)"
13358591,JH140357,02/05/2024 01:27:00 AM,038XX W WASHINGTON BLVD,031A,ROBBERY,ARMED - HANDGUN,ALLEY,false,false,1122,011,28,26,03,1150749,1900142,2024,02/13/2024 03:41:06 PM,41.881885122,-87.721913629,"(41.881885122, -87.721913629)"
13358592,JH140386,02/05/2024 01:30:00 AM,012XX N CENTRAL AVE,031A,ROBBERY,ARMED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2532,025,37,25,03,1138787,1907525,2024,02/13/2024 03:41:06 PM,41.902370457,-87.76565911,"(41.902370457, -87.76565911)"
13359267,JH141355,02/05/2024 01:30:00 AM,090XX S ABERDEEN ST,0810,THEFT,OVER $500,STREET,false,false,2222,022,21,73,06,1170573,1844828,2024,02/13/2024 03:41:06 PM,41.729687016,-87.650733537,"(41.729687016, -87.650733537)"
13358606,JH140358,02/05/2024 01:30:00 AM,083XX S INGLESIDE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,0632,006,8,44,26,1184004,1849966,2024,02/13/2024 03:41:06 PM,41.74348344,-87.601372333,"(41.74348344, -87.601372333)"
13359899,JH141001,02/05/2024 01:31:00 AM,015XX E 68TH ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0332,003,5,43,08B,1187785,1860210,2024,02/13/2024 03:41:06 PM,41.771504824,-87.587193147,"(41.771504824, -87.587193147)"
13358593,JH140364,02/05/2024 01:35:00 AM,001XX N LAVERGNE AVE,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",SIDEWALK,true,false,1532,015,28,25,08A,1143029,1900375,2024,02/13/2024 03:41:06 PM,41.882671931,-87.750255845,"(41.882671931, -87.750255845)"
13358650,JH140367,02/05/2024 01:36:00 AM,030XX S KEDZIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,1032,010,22,30,15,1155515,1884166,2024,02/13/2024 03:41:06 PM,41.837950712,-87.704842297,"(41.837950712, -87.704842297)"
13358626,JH140346,02/05/2024 01:40:00 AM,026XX W 111TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2212,022,19,75,08B,1160891,1830924,2024,02/13/2024 03:41:06 PM,41.691737278,-87.686584159,"(41.691737278, -87.686584159)"
13358595,JH140376,02/05/2024 01:42:00 AM,079XX S LUELLA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0414,004,7,46,08B,1192574,1852849,2024,02/13/2024 03:41:06 PM,41.75119031,-87.569878083,"(41.75119031, -87.569878083)"
13358604,JH140361,02/05/2024 01:47:00 AM,082XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0631,006,8,44,14,1184001,1850475,2024,02/13/2024 03:41:06 PM,41.74488026,-87.601367461,"(41.74488026, -87.601367461)"
13359179,JH141070,02/05/2024 01:51:00 AM,006XX W PATTERSON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,1925,019,46,6,26,1170969,1924611,2024,02/13/2024 03:41:06 PM,41.948610028,-87.646947275,"(41.948610028, -87.646947275)"
13358567,JH140373,02/05/2024 01:52:00 AM,058XX W FILLMORE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1513,015,29,25,14,1137447,1894749,2024,02/13/2024 03:41:06 PM,41.867335666,-87.770888795,"(41.867335666, -87.770888795)"
13358569,JH140368,02/05/2024 01:59:00 AM,091XX S SAGINAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0423,004,7,48,14,1195470,1844847,2024,02/13/2024 03:41:06 PM,41.729161159,-87.559529561,"(41.729161159, -87.559529561)"
13359189,JH141277,02/05/2024 02:00:00 AM,077XX S KNOX AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0834,008,18,70,06,1146750,1852778,2024,02/13/2024 03:41:06 PM,41.751988574,-87.737803386,"(41.751988574, -87.737803386)"
13371756,JH155939,02/05/2024 02:00:00 AM,017XX W 17TH ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,1234,012,25,31,07,1164894,1891779,2024,02/20/2024 03:41:05 PM,41.858648047,-87.670210639,"(41.858648047, -87.670210639)"
13360621,JH141994,02/05/2024 02:05:00 AM,128XX S Muskegon ave,0810,THEFT,OVER $500,RESIDENCE,false,false,0433,004,10,55,06,1197087,1820485,2024,02/13/2024 03:41:06 PM,41.662269356,-87.554413267,"(41.662269356, -87.554413267)"
13358587,JH140381,02/05/2024 02:05:00 AM,054XX W POTOMAC AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,false,false,2532,025,37,25,03,1139668,1908120,2024,02/13/2024 03:41:06 PM,41.903987164,-87.762408466,"(41.903987164, -87.762408466)"
13358700,JH140514,02/05/2024 02:13:00 AM,084XX S KOMENSKY AVE,0810,THEFT,OVER $500,STREET,false,false,0834,008,18,70,06,1150875,1848233,2024,02/13/2024 03:41:06 PM,41.739436957,-87.722805078,"(41.739436957, -87.722805078)"
13359619,JH140396,02/05/2024 02:15:00 AM,035XX W GRENSHAW ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1133,011,24,29,14,1152998,1894831,2024,02/13/2024 03:41:06 PM,41.867266901,-87.71379605,"(41.867266901, -87.71379605)"
13358629,JH140388,02/05/2024 02:17:00 AM,007XX W CORNELIA AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1925,019,46,6,03,1170870,1923461,2024,02/13/2024 03:41:06 PM,41.94545656,-87.647345009,"(41.94545656, -87.647345009)"
13363124,JH140385,02/05/2024 02:20:00 AM,078XX S ELLIS AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,false,false,0624,006,8,69,04B,1184252,1853200,2024,02/13/2024 03:41:06 PM,41.752352081,-87.600362715,"(41.752352081, -87.600362715)"
13358590,JH140383,02/05/2024 02:22:00 AM,003XX N HAMLIN AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,true,1122,011,37,26,26,1151008,1901569,2024,02/13/2024 03:41:06 PM,41.885795895,-87.720925185,"(41.885795895, -87.720925185)"
